ID,Positive Event,Total Sends,Total Opens,Unique Opens,Total Clickthroughs,Unique Clickthroughs,Total Page Views,Total Visits,Average Page Time (seconds),Total Page Time (seconds),Total Form Submissions,Title,Job Function,Industry Formula,Region
3732A,0,53,4,1,0,0,,,,,1,0,Architect,0,EMEA
3733A,0,2,4,1,0,0,,,,,2,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,EMEA
3734A,0,29,0,0,0,0,,,,,1,Architect,Architect,Government,Americas
3735A,0,33,139,1,15,1,18,12,8.222222222,148,4,Lead data architect,Architect,Insurance,Americas
3736A,0,12,33,1,0,0,,,,,3,CEO,"Business Executive (CEO, COO, CMO, etc.)",0,EMEA
3737A,0,54,0,0,0,0,238,81,44.40756303,10569,18,Technical Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,APAC
3738A,0,54,0,0,0,0,238,81,44.40756303,10569,18,Technical Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,APAC
3739A,1,2,11,1,0,0,,,,,1,0,0,Media,EMEA
3740A,0,12,0,0,0,0,,,,,,Web Solutions Architect,Architect,Financial Services,Americas
3741A,0,16,37,1,0,0,129,54,65.05426357,8392,1,0,Director / Development Manager,Software & Technology,EMEA
3742A,0,42,3,1,1,1,50,13,10.86,543,,Chief Software Architect,"Business Executive (CEO, COO, CMO, etc.)",Electronics,Americas
3743A,0,116,125,1,35,1,550,164,69.52,38236,24,DBAs manager,DBA,Banks,EMEA
3744A,0,46,48,1,14,1,29,16,48,1392,7,Software Developer / Engineer,Software Developer / Engineer,Insurance,Americas
3745A,0,25,4,1,15,1,105,37,52.0952381,5470,2,Dr.,Software Developer / Engineer,Electronics,EMEA
3746A,0,16,4,1,0,0,5,1,112,560,1,Strategic internal Account Manager,Business Development / Alliance Manager,Corporate Services,EMEA
3747A,0,29,6,1,0,0,65,28,85.83076923,5579,5,0,Software Developer / Engineer,Pharmaceuticals and Biotechnology,EMEA
3748A,0,51,26,1,0,0,318,108,49.37106918,15700,5,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Consumer Product Manufacturing,EMEA
3749A,0,2,2,1,0,0,,,,,1,0,Business Analyst,0,APAC
3750A,0,13,3,1,0,0,,,,,,"Applications Developer, Lead - Integration Development IBM Platforms Specialist",Director / Development Manager,Retail,Americas
3751A,0,20,21,1,0,0,2,1,18.5,37,3,Director of Engineering,Director / Development Manager,Computer Software,EMEA
3752A,0,43,296,1,10,1,82,24,57.90243902,4748,8,0,Software Developer / Engineer,0,EMEA
3753A,0,10,2,1,0,0,,,,,,Director of Cloud Services,0,Computer Software,EMEA
3754A,0,45,46,1,3,1,446,58,52.79596413,23547,20,Director / Development Manager,Director / Development Manager,Retail,Americas
3755A,1,98,42,1,7,1,1602,340,95.39450687,152822,21,0,DBA,Technology,APAC
3756A,0,37,0,0,0,0,,,,,,Cloud Engineer,Software Developer / Engineer,Media,Americas
3757A,0,31,13,1,0,0,,,,,2,0,Architect,Insurance,EMEA
3758A,0,12,17,1,0,0,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,EMEA
3759A,0,23,220,1,3,1,104,20,64.73076923,6732,20,CIO,"IT Executive (CIO, CTO, VP Engineering, etc.)","Civic, Non-Profit and Membership Groups",Americas
3760A,0,18,43,1,3,1,11,4,10,110,1,IT/Computers/Electronics: Information Systems Management - Senior Employee,Software Developer / Engineer,Aerospace and Defense,Americas
3761A,0,48,3,1,0,0,,,,,,Senior Software Engineer,Software Developer / Engineer,Telecommunications,Americas
3762A,1,16,66,1,2,1,9,8,0.222222222,2,1,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
3763A,0,1,0,0,0,0,,,,,,Chief Information Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",Aerospace and Defense,EMEA
3764A,0,0,1,1,1,1,1,1,0,0,,Head Of IM Strategy & Architecture,Director / Development Manager,Aerospace and Defense,EMEA
3765A,0,80,64,1,11,1,144,82,46.79166667,6738,4,Sr. Information Security Engineer,Software Developer / Engineer,Computer Software,Americas
3766A,0,72,161,1,5,1,120,33,38.025,4563,9,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Electronics,Americas
3767A,0,67,132,1,10,1,452,183,57.99115044,26212,6,0,Director / Development Manager,Computer Software,EMEA
3768A,0,11,0,0,0,0,41,11,63.24390244,2593,2,0,Architect,Holding Companies,EMEA
3769A,0,20,37,1,0,0,,,,,1,0,"Business Executive (CEO, COO, CMO, etc.)",0,EMEA
3770A,0,22,0,0,0,0,6,3,22.33333333,134,1,Manager Software Engineering,Software Developer / Engineer,Corporate Services,Americas
3771A,0,59,6,1,0,0,17,2,151.8235294,2581,5,Executive IT Specialist,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,Americas
3772A,0,8,14,1,1,1,2,1,2.5,5,,Technical Director,Director / Development Manager,Industrial Manufacturing and Services,EMEA
3773A,0,39,90,1,1,1,35,15,75.8,2653,2,Lead Infrastructure Architect,Architect,Computer Software,Americas
3774A,0,15,0,0,0,0,,,,,1,Senior Systems Manager,Software Developer / Engineer,Financial Services,Americas
3775A,0,14,15,1,0,0,,,,,4,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Schools and Education,Americas
3776A,0,24,6,1,0,0,,,,,2,Chief Information Officer and Senior Vice President,"IT Executive (CIO, CTO, VP Engineering, etc.)",Financial Services,Americas
3777A,0,41,84,1,5,1,58,21,61.44827586,3564,10,Technical Director - Partner,Director / Development Manager,Corporate Services,Americas
3778A,0,2,0,0,0,0,,,,,,Sr. DBA,DBA,Financial Services,Americas
3779A,0,86,18,1,0,0,367,133,94.94277929,34844,17,DBA/Tech Lead,DBA,Financial Services,Americas
3780A,0,32,22,1,3,1,303,69,78.16171617,23683,8,Managing Partner,Business Development / Alliance Manager,0,EMEA
3781A,0,21,0,0,0,0,,,,,,IT Project Manager,Product / Project Manager,0,EMEA
3782A,0,45,147,1,13,1,33,13,13.15151515,434,12,Technical Project Manager,Product / Project Manager,Computer Software,Americas
3783A,0,46,140,1,0,0,,,,,,IT Operations Director,Director / Development Manager,Computer Software,Americas
3784A,0,6,0,0,0,0,,,,,1,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
3785A,1,26,40,1,3,1,28,8,56.53571429,1583,2,Head of Pre-Post Sales Department,Director / Development Manager,Computer Software,APAC
3786A,0,14,0,0,0,0,,,,,1,Programmer,0,Computer Software,EMEA
3787A,0,65,90,1,2,1,841,384,75.1450654,63197,5,Vice President of Product Engineering,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3788A,0,13,10,1,1,1,48,11,93.8125,4503,3,0,Architect,Energy and Environmental,EMEA
3789A,0,20,4,1,0,0,,,,,1,0,Software Developer / Engineer,Computer Software,Americas
3790A,0,8,0,0,0,0,,,,,,Engineering Manager,Director / Development Manager,Computer Software,Americas
3791A,0,17,11,1,1,1,39,3,34.41025641,1342,3,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Technology,EMEA
3792A,0,17,0,0,0,0,,,,,1,Director,Director / Development Manager,Corporate Services,APAC
3793A,0,14,19,1,0,0,87,48,88.90804598,7735,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3794A,0,6,0,0,0,0,,,,,,Data Architect,Architect,Insurance,Americas
3795A,0,27,4,1,1,1,1,1,0,0,2,CTO - HT Media,"IT Executive (CIO, CTO, VP Engineering, etc.)",Media,APAC
3796A,0,56,52,1,1,1,1,1,0,0,1,0,Software Developer / Engineer,Corporate Services,EMEA
3797A,0,0,192,1,4,1,187,47,73.87165775,13814,1,0,Architect,Hospitals and Healthcare,Americas
3798A,0,31,71,1,1,1,1,1,0,0,3,Manager - Technical Operations,Technical Operations,Media,Americas
3799A,0,18,0,0,0,0,116,23,69.42241379,8053,11,0,DBA,Telecommunications,EMEA
3800A,0,7,0,0,0,0,,,,,,Project Manager,Product / Project Manager,Banks,Americas
3801A,0,29,0,0,0,0,,,,,3,Architect,Architect,Aerospace and Defense,Americas
3802A,0,76,129,1,9,1,9,8,3.444444444,31,12,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Retail,EMEA
3803A,0,44,214,1,3,1,49,9,51.3877551,2518,3,GIS Data Systems Coordinator,Software Developer / Engineer,Government,Americas
3804A,0,14,1,1,0,0,,,,,1,0,Business Analyst,Financial Services,EMEA
3805A,0,30,0,0,0,0,,,,,11,"Director, Computational Biology",Director / Development Manager,Pharmaceuticals and Biotechnology,Americas
3806A,0,14,0,0,0,0,,,,,,0,0,Computer Hardware,Americas
3807A,0,52,53,1,11,1,326,137,67.71472393,22075,5,Technical Operations,Technical Operations,Corporate Services,Americas
3808A,0,,,,,,,,,,,Sr. Product Manager,Product / Project Manager,Computer Software,Americas
3809A,1,30,0,0,0,0,38,15,84.44736842,3209,4,0,Software Developer / Engineer,Construction and Building Materials,Americas
3810A,1,39,0,0,0,0,,,,,,Chief Financial Officer,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,EMEA
3811A,0,24,0,0,0,0,,,,,,0,0,Computer Software,EMEA
3812A,0,56,28,1,0,0,,,,,,M+Vision Senior Biomedical Research Fellow,Technical Operations,Schools and Education,Americas
3813A,0,15,3,1,3,1,3,3,0,0,1,SIS Services Lead Architect,"Business Executive (CEO, COO, CMO, etc.)",Energy and Environmental,Americas
3814A,1,28,9,1,9,1,1435,379,95.23275261,136659,22,0,Technical Operations,0,EMEA
3815A,0,96,76,1,0,0,59,15,36.05084746,2127,5,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Food and Beverage,EMEA
3816A,0,37,80,1,11,1,44,20,13.02272727,573,8,0,Product / Project Manager,Media,EMEA
3817A,0,32,1,1,1,1,32,10,62.6875,2006,1,0,Other,Corporate Services,Americas
3818A,0,30,85,1,2,1,2,2,0,0,,Senior Manager,Product / Project Manager,Hospitals and Healthcare,Americas
3819A,0,8,8,1,0,0,,,,,,0,0,Financial Services,Americas
3820A,0,5,14,1,0,0,145,45,76.11724138,11037,1,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
3821A,0,3,0,0,0,0,,,,,,"Senior Manager, Contract & Vendor Management",Product / Project Manager,Schools and Education,Americas
3822A,0,18,19,1,0,0,,,,,1,Senior Software Engineer,Software Developer / Engineer,Computer Software,Americas
3823A,0,1,0,0,0,0,,,,,,"Big Data & Analytics, Area de Banca Digital",Data Scientist,Banks,EMEA
3824A,0,23,6,1,9,1,85,32,36.22352941,3079,3,0,Software Developer / Engineer,Computer Software,APAC
3825A,0,16,19,1,0,0,2,2,0,0,,0,Architect,Banks,Americas
3826A,0,21,24,1,0,0,,,,,2,0,Architect,"Leisure, Sports and Recreation",EMEA
3827A,0,30,20,1,0,0,135,61,57.17037037,7718,2,Chief Technology Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,APAC
3828A,0,59,15,1,3,1,460,154,71.04782609,32682,5,0,Software Developer / Engineer,Telecommunications,Americas
3829A,0,6,9,1,0,0,,,,,,Senior manager IT Asset Management,0,Banks,EMEA
3830A,0,16,9,1,0,0,,,,,,Business Intelligence Competency Center (BICC) Senior Manager,Data Scientist,Banks,EMEA
3831A,1,69,18,1,6,1,682,181,81.3856305,55505,11,R&D Engineer,Data Scientist,Government,Americas
3832A,0,25,3,1,0,0,,,,,1,0,Director / Development Manager,Telecommunications,Americas
3833A,0,2,0,0,0,0,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Construction and Building Materials,EMEA
3834A,0,44,2,1,0,0,,,,,,DevOps Engineer,Software Developer / Engineer,Computer Software,Americas
3835A,0,24,25,1,5,1,361,117,52.8033241,19062,2,Chief Technology Officer,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
3836A,0,45,32,1,3,1,5,3,3,15,,Chief Architect & Business Relationship Manager,"IT Executive (CIO, CTO, VP Engineering, etc.)",Automotive,Americas
3837A,0,62,10,1,2,1,325,68,68.50153846,22263,20,Database Administration,Architect,Automotive,Americas
3838A,0,35,171,1,0,0,,,,,1,0,Software Developer / Engineer,0,EMEA
3839A,0,30,7,1,1,1,31,14,49.61290323,1538,4,Lead Technical architect,Architect,Government,Americas
3840A,0,29,2,1,1,1,101,13,36.32673267,3669,2,0,DBA,Media,Americas
3841A,0,21,54,1,0,0,,,,,,Sales,Other,Retail,Americas
3842A,0,51,552,1,32,1,176,57,56.92045455,10018,8,"Director, Co-Head of Capital Markets Technology",Director / Development Manager,Banks,Americas
3843A,0,25,5,1,2,1,2,1,147.5,295,3,Sales Director,Director / Development Manager,Computer Software,APAC
3844A,0,1,3,1,0,0,20,3,33.85,677,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
3845A,0,7,2,1,0,0,,,,,,Resp Socles logiciels - BU Industry (report to Chauvet),0,Electronics,EMEA
3846A,1,3,0,0,0,0,,,,,,Accenture,0,Government,Americas
3847A,0,2,13,1,0,0,,,,,,0,"Business Executive (CEO, COO, CMO, etc.)",0,Americas
3848A,0,61,17,1,0,0,8,4,103.375,827,1,0,Architect,Financial Services,Americas
3849A,0,10,2,1,0,0,,,,,,Sponsor,0,0,Americas
3850A,0,23,58,1,0,0,67,26,71.04477612,4760,9,0,Software Developer / Engineer,"Leisure, Sports and Recreation",Americas
3851A,0,19,5,1,13,1,13,9,6.538461538,85,,"Enterprise Technology Architect/Strategist - Data Architecture, Data Warehouse and Integration",Architect,Energy and Environmental,Americas
3852A,0,61,103,1,8,1,250,60,57.316,14329,14,Principal Database Administrator,Director / Development Manager,"Leisure, Sports and Recreation",Americas
3853A,0,26,1,1,1,1,103,7,56.45631068,5815,11,COO,"Business Executive (CEO, COO, CMO, etc.)",Consumer Services,EMEA
3854A,0,15,9,1,0,0,25,9,106.24,2656,1,"Manager, Data & Analytics Delivery Services Group","Business Executive (CEO, COO, CMO, etc.)",Financial Services,EMEA
3855A,1,2,2,1,0,0,,,,,1,0,"Business Executive (CEO, COO, CMO, etc.)",0,Americas
3856A,0,70,2,1,5,1,226,37,55.42920354,12527,37,Chief Software Architect,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,EMEA
3857A,1,17,70,1,3,1,314,107,59.00955414,18529,3,Chief Technology Officer & Co-Founder,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3858A,0,64,31,1,4,1,321,96,68.12149533,21867,2,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
3859A,0,26,19,1,0,0,,,,,,Director Area de Información IT,Director / Development Manager,Consumer Product Manufacturing,EMEA
3860A,1,14,0,0,0,0,,,,,,0,Director / Development Manager,Corporate Services,Americas
3861A,0,14,0,0,0,0,,,,,,0,0,Insurance,Americas
3862A,0,59,35,1,6,1,758,184,59.19129288,44867,23,Senior Software Developer,DBA,Insurance,Americas
3863A,0,14,13,1,1,1,46,16,52.67391304,2423,5,0,DBA,Computer Software,Americas
3864A,0,37,0,0,0,0,2,1,298.5,597,9,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,APAC
3865A,1,15,0,0,0,0,9,3,135.4444444,1219,1,0,Other,Banks,EMEA
3866A,0,31,5,1,5,1,12,6,140.25,1683,4,0,Architect,Energy and Environmental,EMEA
3867A,0,53,1,1,3,1,7,5,121.8571429,853,4,Data Scientist,Data Scientist,Government,Americas
3868A,0,75,165,1,10,1,554,126,102.4638989,56765,2,Technical Lead,Architect,Computer Software,Americas
3869A,0,37,34,1,0,0,,,,,2,"Head of Software Development, Data Architecture",Architect,Computer Software,Americas
3870A,0,11,43,1,0,0,,,,,,CEO,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,EMEA
3871A,0,27,125,1,7,1,55,17,69.01818182,3796,5,0,Architect,0,APAC
3872A,0,25,0,0,0,0,2,1,47,94,1,Sr. Manager,Product / Project Manager,Corporate Services,Americas
3873A,0,27,73,1,0,0,,,,,3,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,EMEA
3874A,0,10,0,0,0,0,,,,,,"VP Offering Management, Data Services","Business Executive (CEO, COO, CMO, etc.)",Corporate Services,Americas
3875A,0,64,46,1,19,1,1480,416,61.85743243,91549,11,0,Software Developer / Engineer,Computer Software,Americas
3876A,0,53,17,1,0,0,6,2,37.83333333,227,2,0,Technical Operations,Banks,Americas
3877A,1,9,10,1,0,0,112,35,88.25,9884,,Director of Product Development,Director / Development Manager,Corporate Services,Americas
3878A,0,16,0,0,0,0,,,,,3,0,Architect,Corporate Services,Global
3879A,0,20,0,0,0,0,2,2,0,0,1,0,Product / Project Manager,Energy and Environmental,Americas
3880A,0,21,0,0,0,0,,,,,,Partner,Business Development / Alliance Manager,Telecommunications,Americas
3881A,0,3,0,0,0,0,,,,,,Commercial Manager,Product / Project Manager,Computer Software,Americas
3882A,0,2,3,1,0,0,32,11,63.96875,2047,2,0,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,EMEA
3883A,1,46,5,1,3,1,3,3,0,0,2,Senior Business Analyst,Software Developer / Engineer,Banks,Americas
3884A,0,16,3,1,1,1,1,1,0,0,,Manager,Director / Development Manager,Construction and Building Materials,EMEA
3885A,0,30,4,1,0,0,3,3,37.66666667,113,1,0,Architect,Automotive,EMEA
3886A,0,21,24,1,4,1,7,6,4,28,,Infrastructure Lead/Network Integrator,Architect,"Civic, Non-Profit and Membership Groups",Americas
3887A,0,11,0,0,0,0,,,,,,Lead Architect,Architect,Insurance,Americas
3888A,0,18,68,1,0,0,,,,,7,Architect,Architect,Government,Americas
3889A,0,33,41,1,4,1,259,74,83.64478764,21664,5,Technical Content Manager,Software Developer / Engineer,Schools and Education,Americas
3890A,0,10,2,1,0,0,,,,,,Vice President of Software Development,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,Americas
3891A,0,0,12,1,3,1,16,10,41.4375,663,2,Director of Network Infrastructure,Director / Development Manager,Computer Software,Americas
3892A,0,53,14,1,2,1,24,11,11.20833333,269,1,0,Architect,Media,EMEA
3893A,0,11,0,0,0,0,,,,,,0,Architect,Financial Services,EMEA
3894A,0,25,39,1,5,1,442,78,62.84162896,27776,15,0,Student,Government,Americas
3895A,0,46,8,1,3,1,18,12,95.61111111,1721,5,Digital Transformation & Innovation Manager,Architect,Retail,EMEA
3896A,0,27,43,1,1,1,20,7,57.1,1142,1,0,Architect,Schools and Education,Americas
3897A,1,37,3,1,3,1,230,84,58.07391304,13357,6,Director of software engineering,Director / Development Manager,Computer Software,Americas
3898A,0,11,17,1,4,1,323,106,131.2755418,42402,6,Developer / Engineer,Architect,Computer Software,APAC
3899A,1,17,16,1,0,0,,,,,,Software Development Team Lead,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3900A,1,,,,,,,,,,,Sr. Product Manager,Product / Project Manager,Computer Software,Americas
3901A,0,1,0,0,0,0,,,,,,NA,0,Banks,Americas
3902A,0,28,18,1,0,0,,,,,,0,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,Americas
3903A,0,29,15,1,14,1,15,9,117.1333333,1757,9,0,Software Developer / Engineer,0,EMEA
3904A,0,48,4,1,0,0,148,53,40.99324324,6067,23,Founder,"Business Executive (CEO, COO, CMO, etc.)",0,Americas
3905A,1,4,6,1,1,1,11,3,60.54545455,666,1,VP Product,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,Americas
3906A,0,64,100,1,15,1,2043,582,103.9530103,212376,4,Director,Director / Development Manager,Media,APAC
3907A,0,17,31,1,2,1,12,4,9.083333333,109,2,Systems Engineer,Software Developer / Engineer,Computer Software,Americas
3908A,0,30,33,1,1,1,24,9,28.54166667,685,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3909A,0,19,107,1,0,0,,,,,1,0,Architect,Corporate Services,EMEA
3910A,0,17,2,1,0,0,,,,,,Head of IT Systems Gbm Delivery,Director / Development Manager,Corporate Services,EMEA
3911A,0,43,22,1,4,1,16,4,21.4375,343,12,"Platform Owner Mainframe at SEB / ""Solution Expert""","Business Executive (CEO, COO, CMO, etc.)",Banks,EMEA
3912A,0,3,0,0,0,0,22,4,41.81818182,920,2,Technical Architect,Architect,"Civic, Non-Profit and Membership Groups",Americas
3913A,0,23,39,1,4,1,110,34,74.92727273,8242,4,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,APAC
3914A,1,89,71,1,4,1,273,69,62.64102564,17101,9,Enterprise Architect,Director / Development Manager,Corporate Services,Americas
3915A,0,9,6,1,0,0,,,,,,Senior Developer / Project Leader at Idukay,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
3916A,0,6,14,1,1,1,28,7,75.96428571,2127,1,0,Architect,Media,Americas
3917A,0,24,24,1,3,1,304,99,130.4736842,39664,4,0,Software Developer / Engineer,Telecommunications,EMEA
3918A,0,26,4,1,2,1,85,30,35.83529412,3046,1,0,Architect,Corporate Services,APAC
3919A,0,28,69,1,0,0,14,2,6.285714286,88,2,0,"Business Executive (CEO, COO, CMO, etc.)",0,EMEA
3920A,0,21,4,1,0,0,,,,,,Senior Manager Procurement,Other,Computer Software,EMEA
3921A,0,7,26,1,0,0,,,,,,CEO – Region Europe,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,EMEA
3922A,0,35,63,1,11,1,208,63,91.54326923,19041,1,Chef de projet,Product / Project Manager,Computer Software,EMEA
3923A,0,24,32,1,0,0,,,,,2,"Manager, IT Infrastructure & Support",Director / Development Manager,Computer Software,Americas
3924A,0,2,0,0,0,0,179,35,68.67597765,12293,1,IT Senior Manager,Software Developer / Engineer,Pharmaceuticals and Biotechnology,EMEA
3925A,0,60,1,1,0,0,,,,,1,Systems Architect,Architect,Financial Services,Americas
3926A,0,38,23,1,2,1,19,3,70.78947368,1345,1,0,Product / Project Manager,Construction and Building Materials,EMEA
3927A,0,49,46,1,1,1,5,2,17,85,1,Director of DevOps,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
3928A,0,,,,,,,,,,,0,0,Government,Americas
3929A,1,59,43,1,9,1,469,152,70.19189765,32920,9,Technical Lead,0,Computer Software,Americas
3930A,0,59,231,1,5,1,446,165,29.78699552,13285,10,Software Developer/Engineer,Software Developer / Engineer,0,Americas
3931A,0,48,17,1,8,1,251,74,75.91633466,19055,7,Enterprise architect,Architect,Corporate Services,Americas
3932A,0,12,42,1,3,1,72,18,19,1368,8,Chief Technology Officer,0,Computer Software,APAC
3933A,1,22,24,1,0,0,,,,,1,Tech Lead API,Director / Development Manager,Corporate Services,EMEA
3934A,0,12,0,0,0,0,1,1,0,0,,Head of eFI Algorithmic Trading,Director / Development Manager,Corporate Services,EMEA
3935A,1,23,0,0,0,0,,,,,4,Manager –Information Services,"Business Executive (CEO, COO, CMO, etc.)",Hospitals and Healthcare,Americas
3936A,1,17,14,1,8,1,27,8,30.48148148,823,2,Architect,Architect,Computer Software,Americas
3937A,0,2,0,0,0,0,1,1,0,0,1,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
3938A,0,63,32,1,4,1,185,51,50.83783784,9405,6,Software Engineer,Software Developer / Engineer,Computer Software,Americas
3939A,0,11,6,1,0,0,220,90,80.11363636,17625,1,0,Software Developer / Engineer,Computer Software,APAC
3940A,0,18,35,1,3,1,210,45,62.95238095,13220,2,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,EMEA
3941A,0,62,69,1,4,1,169,41,132.1538462,22334,3,National Head EDW & Big Data,Director / Development Manager,Financial Services,APAC
3942A,0,47,45,1,5,1,35,7,58.94285714,2063,7,Associate Director,Director / Development Manager,Real Estate,Americas
3943A,0,43,11,1,0,0,,,,,2,0,Architect,Financial Services,EMEA
3944A,0,21,82,1,5,1,16,10,0.375,6,1,C.T.O,Director / Development Manager,"Leisure, Sports and Recreation",EMEA
3945A,0,39,23,1,1,1,68,28,89.76470588,6104,,R&D Engineer,Software Developer / Engineer,0,EMEA
3946A,0,24,46,1,3,1,77,18,45.51948052,3505,3,managing partner,Business Development / Alliance Manager,Corporate Services,EMEA
3947A,0,42,0,0,0,0,,,,,2,Enterprise Data Architect Strategy & Architecture,Architect,Retail,EMEA
3948A,1,54,50,1,5,1,78,25,60.64102564,4730,3,Senior Design Engineer,Software Developer / Engineer,Computer Hardware,EMEA
3949A,0,6,2,1,0,0,,,,,1,0,Business Development / Alliance Manager,0,APAC
3950A,0,29,4,1,6,1,6,3,5,30,2,0,Architect,Automotive,APAC
3951A,0,66,19,1,8,1,313,40,58.5399361,18323,23,DBA,DBA,"Civic, Non-Profit and Membership Groups",Americas
3952A,0,3,2,1,0,0,,,,,1,Data Warehouse Team Leader,Architect,Construction and Building Materials,EMEA
3953A,0,29,2,1,2,1,4,2,2,8,1,0,Architect,Insurance,EMEA
3954A,0,6,4,1,1,1,2,2,0.5,1,1,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
3955A,0,24,0,0,0,0,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
3956A,0,58,89,1,5,1,413,167,59.8401937,24714,2,0,Architect,Computer Software,Americas
3957A,0,4,8,1,0,0,2,2,68.5,137,2,Head Of Engineering,Director / Development Manager,Computer Software,EMEA
3958A,0,13,0,0,0,0,,,,,,Unix Engineer ||,Software Developer / Engineer,Computer Software,APAC
3959A,0,17,42,1,4,1,95,22,53.09473684,5044,3,0,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,Americas
3960A,0,46,36,1,2,1,800,175,86.5625,69250,2,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Retail,Americas
3961A,0,18,49,1,3,1,18,7,37.55555556,676,2,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
3962A,0,14,0,0,0,0,,,,,1,"Director, IT Data Services",Director / Development Manager,Banks,Americas
3963A,0,15,1,1,1,1,71,30,62.49295775,4437,1,0,Software Developer / Engineer,Computer Software,EMEA
3964A,0,38,14,1,1,1,45,11,41.35555556,1861,5,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
3965A,0,14,3,1,2,1,35,9,60.8,2128,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Telecommunications,Americas
3966A,0,0,23,1,2,1,22,10,33.95454545,747,2,"Manager, Business Intelligence",Director / Development Manager,Holding Companies,Americas
3967A,1,2,6,1,0,0,33,8,63.66666667,2101,2,CEO,"Business Executive (CEO, COO, CMO, etc.)",Computer Software,Americas
3968A,0,49,20,1,1,1,15,3,59.53333333,893,5,Software Developer,Software Developer / Engineer,Media,Americas
3969A,0,58,5,1,0,0,22,8,28.45454545,626,4,Enterprise Data Architect,Architect,Hospitals and Healthcare,Americas
3970A,0,7,14,1,0,0,,,,,1,Project Manager,Product / Project Manager,Computer Software,Americas
3971A,0,31,6,1,0,0,9,6,65.88888889,593,4,Resp Big Data,Data Scientist,Transportation,EMEA
3972A,0,39,14,1,0,0,474,194,61.80590717,29296,4,0,Architect,Computer Software,Americas
3973A,0,2,0,0,0,0,,,,,,Architect,Architect,Electronics,EMEA
3974A,0,12,2,1,0,0,,,,,,Infrastructure technologies at Intesa Sanpaolo,Architect,Banks,EMEA
3975A,0,40,14,1,0,0,,,,,,Innovation Specialist at Intesa Sanpaolo,Architect,Banks,EMEA
3976A,0,55,16,1,0,0,206,66,94.13592233,19392,11,0,Director / Development Manager,Computer Software,EMEA
3977A,0,59,21,1,0,0,280,40,94.93214286,26581,18,NA,DBA,Consumer Services,Americas
3978A,0,71,104,1,10,1,476,107,128.5567227,61193,6,0,"Business Executive (CEO, COO, CMO, etc.)",0,Americas
